"Date","AAIGF","ADNT","AET","AIG","AMP","AMZN","APA","AXP","BABA","BAM","BBBY","BK","BRK","CFG","CNQ","COF","COG","COP","COST","COV","CVS","DEO","DGX","EDU","ESRX","FB","GE","GOOG","GOOGL","HCMLF","HOG","HPQ","IBM","INTC","IRM","JCI","JNJ","JPM","KMX","KO","L","LBTYK","LH","LVS","MEL","MER","MKL","MO","MON","MRK","MSFT","NPSNY","NWSA","OVV","OXY","PG","RE","RHHVF","RHJIF","RTX","RWT","S","SAFRY","SCHW","SYY","TEL","TKOMY","TRH","TXN","UNH","USB","WB","WFC","WMT","WOSCF","Y"
2006-10-01,0,0,0,9.43,5.2,0,0,8.76,0,0,0,0,4.41,0,0,0,0,8.84,7.02,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,1.74,3.58,0,0.07,0,0,0,0,1.43,4.38,0,6.45,0,0,4.78,0,3.4,0,0,5.52,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,2.4,0,6.14,0,0
2006-11-01,0,0,0,9.43,5.2,0,0,8.76,0,0,0,0,4.41,0,0,0,0,8.84,7.02,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,1.74,3.58,0,0.07,0,0,0,0,1.43,4.38,0,6.45,0,0,4.78,0,3.4,0,0,5.52,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,2.4,0,6.14,0,0
2006-12-01,0,0,0,9.43,5.2,0,0,8.76,0,0,0,0,4.41,0,0,0,0,8.84,7.02,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,1.74,3.58,0,0.07,0,0,0,0,1.43,4.38,0,6.45,0,0,4.78,0,3.4,0,0,5.52,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,2.4,0,6.14,0,0
2007-01-01,0,0,0,9.2,5.67,0,0,8.47,0,0,0,0,4.55,0,0,0,0,8.74,7.44,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,1.65,3.73,0,0,0,0,0,0,4.05,4,0,3.06,0,0,4.64,0,3.8,0,0,5.65,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,2.41,0,6.49,0,0
2007-02-01,0,0,0,9.2,5.67,0,0,8.47,0,0,0,0,4.55,0,0,0,0,8.74,7.44,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,1.65,3.73,0,0,0,0,0,0,4.05,4,0,3.06,0,0,4.64,0,3.8,0,0,5.65,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,2.41,0,6.49,0,0
2007-03-01,0,0,0,9.2,5.67,0,0,8.47,0,0,0,0,4.55,0,0,0,0,8.74,7.44,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,1.65,3.73,0,0,0,0,0,0,4.05,4,0,3.06,0,0,4.64,0,3.8,0,0,5.65,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,2.41,0,6.49,0,0
2007-04-01,0,0,0,9.58,6.3,0,0,9.19,0,0,0,5.01,4.57,0,0,0,0,10.03,8.08,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,1.69,3.74,0,0,0,0,0,0,0,4.09,0,0,0,0,4.91,0,3.49,0,0,5.47,0,0,0.79,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,4.19,0,0
2007-05-01,0,0,0,9.58,6.3,0,0,9.19,0,0,0,5.01,4.57,0,0,0,0,10.03,8.08,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,1.69,3.74,0,0,0,0,0,0,0,4.09,0,0,0,0,4.91,0,3.49,0,0,5.47,0,0,0.79,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,4.19,0,0
2007-06-01,0,0,0,9.58,6.3,0,0,9.19,0,0,0,5.01,4.57,0,0,0,0,10.03,8.08,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,1.69,3.74,0,0,0,0,0,0,0,4.09,0,0,0,0,4.91,0,3.49,0,0,5.47,0,0,0.79,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,4.19,0,0
2007-07-01,0,0,0,9.83,4.55,0,0,9.19,0,0,0,5.34,5.1,0,0,0,0,11.92,8.75,3.57,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,3.6,0,0,0,0,3.76,0,3.73,0,0,5.98,0,0,2.05,0,0,0,0,0,0,3.05,2.01,0,0,0,0,0,0,3.92,0,0
2007-08-01,0,0,0,9.83,4.55,0,0,9.19,0,0,0,5.34,5.1,0,0,0,0,11.92,8.75,3.57,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,3.6,0,0,0,0,3.76,0,3.73,0,0,5.98,0,0,2.05,0,0,0,0,0,0,3.05,2.01,0,0,0,0,0,0,3.92,0,0
2007-09-01,0,0,0,9.83,4.55,0,0,9.19,0,0,0,5.34,5.1,0,0,0,0,11.92,8.75,3.57,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,3.6,0,0,0,0,3.76,0,3.73,0,0,5.98,0,0,2.05,0,0,0,0,0,0,3.05,2.01,0,0,0,0,0,0,3.92,0,0
2007-10-01,0,0,0,9.43,3.25,0,0,7.52,0,0,0,6.56,6.04,0,3.56,0,0,5.22,8.66,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,4.41,0,0,0,0,4.68,0,3.42,0,0,6.13,0,0,2.61,0,2.37,0,0,0,0,0,1.88,0,0,4.77,0,0,0,0,0,0
2007-11-01,0,0,0,9.43,3.25,0,0,7.52,0,0,0,6.56,6.04,0,3.56,0,0,5.22,8.66,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,4.41,0,0,0,0,4.68,0,3.42,0,0,6.13,0,0,2.61,0,2.37,0,0,0,0,0,1.88,0,0,4.77,0,0,0,0,0,0
2007-12-01,0,0,0,9.43,3.25,0,0,7.52,0,0,0,6.56,6.04,0,3.56,0,0,5.22,8.66,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,4.41,0,0,0,0,4.68,0,3.42,0,0,6.13,0,0,2.61,0,2.37,0,0,0,0,0,1.88,0,0,4.77,0,0,0,0,0,0
2008-01-01,0,0,0,8.74,3.68,0,0,7.9,0,0,0,7.01,7.11,0,4.15,0,0,5.63,9.48,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,4.89,0,0,0,0,4.65,0,3.12,0,0,6.5,0,0,2.37,0,3.3,0,0,0,0,0,1.69,0,0,3.52,0,0,0,0,0,0
2008-02-01,0,0,0,8.74,3.68,0,0,7.9,0,0,0,7.01,7.11,0,4.15,0,0,5.63,9.48,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,4.89,0,0,0,0,4.65,0,3.12,0,0,6.5,0,0,2.37,0,3.3,0,0,0,0,0,1.69,0,0,3.52,0,0,0,0,0,0
2008-03-01,0,0,0,8.74,3.68,0,0,7.9,0,0,0,7.01,7.11,0,4.15,0,0,5.63,9.48,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,4.89,0,0,0,0,4.65,0,3.12,0,0,6.5,0,0,2.37,0,3.3,0,0,0,0,0,1.69,0,0,3.52,0,0,0,0,0,0
2008-04-01,0,0,0,6.16,2.81,0,0,7.84,0,1.58,0,7.32,7.41,0,7.02,0,0,6.95,10.83,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,4.5,0,0,0,0,2.56,0,1.58,0,0,6.5,0,0,3.09,0,2.38,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0
2008-05-01,0,0,0,6.16,2.81,0,0,7.84,0,1.58,0,7.32,7.41,0,7.02,0,0,6.95,10.83,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,4.5,0,0,0,0,2.56,0,1.58,0,0,6.5,0,0,3.09,0,2.38,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0
2008-06-01,0,0,0,6.16,2.81,0,0,7.84,0,1.58,0,7.32,7.41,0,7.02,0,0,6.95,10.83,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,4.5,0,0,0,0,2.56,0,1.58,0,0,6.5,0,0,3.09,0,2.38,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0
2008-07-01,0,0,0,0,1.67,0,0,8.93,0,1.61,0,7.63,9.71,0,5.81,0,0,6.53,12.03,0,0,0,0,0,0,0,0,0,0,0,5.82,0,0,0,0,0,0,5.87,1.62,0,0,0,0,0,0,2.18,0,0,0,0,3,0,1.52,0,0,7.56,0,0,2.7,0,2.83,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0
2008-08-01,0,0,0,0,1.67,0,0,8.93,0,1.61,0,7.63,9.71,0,5.81,0,0,6.53,12.03,0,0,0,0,0,0,0,0,0,0,0,5.82,0,0,0,0,0,0,5.87,1.62,0,0,0,0,0,0,2.18,0,0,0,0,3,0,1.52,0,0,7.56,0,0,2.7,0,2.83,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0
2008-09-01,0,0,0,0,1.67,0,0,8.93,0,1.61,0,7.63,9.71,0,5.81,0,0,6.53,12.03,0,0,0,0,0,0,0,0,0,0,0,5.82,0,0,0,0,0,0,5.87,1.62,0,0,0,0,0,0,2.18,0,0,0,0,3,0,1.52,0,0,7.56,0,0,2.7,0,2.83,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0
2008-10-01,0,0,0,0,1.48,0,0,6.78,0,1.3,0,9.63,10.42,0,4.92,0,0,6.7,11.87,0,0,0,0,0,0,0,0,0,0,0,3.84,1.94,0,0,0,0,0,5.75,1.32,0,0,0,0,0,0,0,0,0,0,0,2.75,0,1.67,0,0,8.99,0,0,2.48,0,2.01,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0
2008-11-01,0,0,0,0,1.48,0,0,6.78,0,1.3,0,9.63,10.42,0,4.92,0,0,6.7,11.87,0,0,0,0,0,0,0,0,0,0,0,3.84,1.94,0,0,0,0,0,5.75,1.32,0,0,0,0,0,0,0,0,0,0,0,2.75,0,1.67,0,0,8.99,0,0,2.48,0,2.01,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0
2008-12-01,0,0,0,0,1.48,0,0,6.78,0,1.3,0,9.63,10.42,0,4.92,0,0,6.7,11.87,0,0,0,0,0,0,0,0,0,0,0,3.84,1.94,0,0,0,0,0,5.75,1.32,0,0,0,0,0,0,0,0,0,0,0,2.75,0,1.67,0,0,8.99,0,0,2.48,0,2.01,0,0,0,0,0,0,0,0,4.95,0,0,0,0,0,0
2009-01-01,0,0,0,0,1.71,0,0,6.35,0,0,0,8.85,12.27,0,6.23,0,0,5.76,13.32,0,0,0,0,0,0,0,0,0,0,0,4.73,2.73,0,0,0,0,0,3.33,2.73,0,4.92,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,7.44,0,0,2.58,0,0,0,0,0,0,0,0,1.07,1.42,1.86,0,0,0,0,0,0
2009-02-01,0,0,0,0,1.71,0,0,6.35,0,0,0,8.85,12.27,0,6.23,0,0,5.76,13.32,0,0,0,0,0,0,0,0,0,0,0,4.73,2.73,0,0,0,0,0,3.33,2.73,0,4.92,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,7.44,0,0,2.58,0,0,0,0,0,0,0,0,1.07,1.42,1.86,0,0,0,0,0,0
2009-03-01,0,0,0,0,1.71,0,0,6.35,0,0,0,8.85,12.27,0,6.23,0,0,5.76,13.32,0,0,0,0,0,0,0,0,0,0,0,4.73,2.73,0,0,0,0,0,3.33,2.73,0,4.92,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,7.44,0,0,2.58,0,0,0,0,0,0,0,0,1.07,1.42,1.86,0,0,0,0,0,0
2009-04-01,0,0,0,0,1.73,0,0,6.79,0,0,0,7.85,10.89,0,7.25,0,0,4.68,11.23,0,0,0,0,0,0,0,0,0,0,0,4.89,2.82,0,0,0,0,0,3.03,0,0,5.22,0,0,0,0,0,0,0,0,1.45,3.37,0,0,0,0,6.9,0,0,3.93,0,0,0,0,0,0,0,0,1.37,1.56,1.89,0,0,0,0,0,0
2009-05-01,0,0,0,0,1.73,0,0,6.79,0,0,0,7.85,10.89,0,7.25,0,0,4.68,11.23,0,0,0,0,0,0,0,0,0,0,0,4.89,2.82,0,0,0,0,0,3.03,0,0,5.22,0,0,0,0,0,0,0,0,1.45,3.37,0,0,0,0,6.9,0,0,3.93,0,0,0,0,0,0,0,0,1.37,1.56,1.89,0,0,0,0,0,0
2009-06-01,0,0,0,0,1.73,0,0,6.79,0,0,0,7.85,10.89,0,7.25,0,0,4.68,11.23,0,0,0,0,0,0,0,0,0,0,0,4.89,2.82,0,0,0,0,0,3.03,0,0,5.22,0,0,0,0,0,0,0,0,1.45,3.37,0,0,0,0,6.9,0,0,3.93,0,0,0,0,0,0,0,0,1.37,1.56,1.89,0,0,0,0,0,0
2009-07-01,0,0,0,0,2.14,0,0,8.19,0,0,0,6.42,10.11,0,7.68,0,0,4.16,11.48,0,0,0,0,0,0,0,0,0,0,0,5.74,2.85,0,0,0,0,0,2.78,0,1.44,5.39,0,0,0,0,0,0,0,0,3.15,2.96,0,0,0,0,6.47,0,0,3.72,0,0,0,0,0,0,0,0,0,1.44,1.57,0,0,0,0,0,0
2009-08-01,0,0,0,0,2.14,0,0,8.19,0,0,0,6.42,10.11,0,7.68,0,0,4.16,11.48,0,0,0,0,0,0,0,0,0,0,0,5.74,2.85,0,0,0,0,0,2.78,0,1.44,5.39,0,0,0,0,0,0,0,0,3.15,2.96,0,0,0,0,6.47,0,0,3.72,0,0,0,0,0,0,0,0,0,1.44,1.57,0,0,0,0,0,0
2009-09-01,0,0,0,0,2.14,0,0,8.19,0,0,0,6.42,10.11,0,7.68,0,0,4.16,11.48,0,0,0,0,0,0,0,0,0,0,0,5.74,2.85,0,0,0,0,0,2.78,0,1.44,5.39,0,0,0,0,0,0,0,0,3.15,2.96,0,0,0,0,6.47,0,0,3.72,0,0,0,0,0,0,0,0,0,1.44,1.57,0,0,0,0,0,0
2009-10-01,0,0,0,0,1.36,0,0,8.84,0,0,0,6.14,9.66,0,8.14,0,0,2.53,11.56,0,2.97,0,0,0,0,0,0,0,0,0,6.23,3.08,0,0,0,0,0,2.05,0,1.51,5.67,0,0,0,0,0,0,0,0,3.6,3.09,0,0,0,0,6.71,0,0,3.78,0,0,0,0,0,0,0,0,1.35,1.37,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,1.36,0,0,8.84,0,0,0,6.14,9.66,0,8.14,0,0,2.53,11.56,0,2.97,0,0,0,0,0,0,0,0,0,6.23,3.08,0,0,0,0,0,2.05,0,1.51,5.67,0,0,0,0,0,0,0,0,3.6,3.09,0,0,0,0,6.71,0,0,3.78,0,0,0,0,0,0,0,0,1.35,1.37,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,1.36,0,0,8.84,0,0,0,6.14,9.66,0,8.14,0,0,2.53,11.56,0,2.97,0,0,0,0,0,0,0,0,0,6.23,3.08,0,0,0,0,0,2.05,0,1.51,5.67,0,0,0,0,0,0,0,0,3.6,3.09,0,0,0,0,6.71,0,0,3.78,0,0,0,0,0,0,0,0,1.35,1.37,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,1.51,0,0,8.58,0,0,0,6.46,10.83,0,7.99,0,0,2.34,11.14,0,3.22,0,0,0,0,0,0,0,0,0,6.62,3.03,0,0,0,0,0,1.35,0,1.62,5.55,0,0,0,0,0,0,0,0,3.51,2.83,0,0,0,0,6.67,0,0,3.99,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.23,0,0,0
2010-02-01,0,0,0,0,1.51,0,0,8.58,0,0,0,6.46,10.83,0,7.99,0,0,2.34,11.14,0,3.22,0,0,0,0,0,0,0,0,0,6.62,3.03,0,0,0,0,0,1.35,0,1.62,5.55,0,0,0,0,0,0,0,0,3.51,2.83,0,0,0,0,6.67,0,0,3.99,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.23,0,0,0
2010-03-01,0,0,0,0,1.51,0,0,8.58,0,0,0,6.46,10.83,0,7.99,0,0,2.34,11.14,0,3.22,0,0,0,0,0,0,0,0,0,6.62,3.03,0,0,0,0,0,1.35,0,1.62,5.55,0,0,0,0,0,0,0,0,3.51,2.83,0,0,0,0,6.67,0,0,3.99,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.23,0,0,0
2010-04-01,0,0,0,0,1.36,0,0,8.95,0,0,0,5.86,10.86,0,8.14,0,0,2.54,11.6,0,3.17,0,0,0,0,0,0,0,0,0,5.82,2.8,0,0,0,0,0,1.25,0,1.68,5.62,0,0,0,0,0,0,0,0,3.73,1.31,0,0,0,0,7.18,0,0,3.86,0,0,0,0,0,0,0,0,1.34,1.76,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,1.36,0,0,8.95,0,0,0,5.86,10.86,0,8.14,0,0,2.54,11.6,0,3.17,0,0,0,0,0,0,0,0,0,5.82,2.8,0,0,0,0,0,1.25,0,1.68,5.62,0,0,0,0,0,0,0,0,3.73,1.31,0,0,0,0,7.18,0,0,3.86,0,0,0,0,0,0,0,0,1.34,1.76,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,1.36,0,0,8.95,0,0,0,5.86,10.86,0,8.14,0,0,2.54,11.6,0,3.17,0,0,0,0,0,0,0,0,0,5.82,2.8,0,0,0,0,0,1.25,0,1.68,5.62,0,0,0,0,0,0,0,0,3.73,1.31,0,0,0,0,7.18,0,0,3.86,0,0,0,0,0,0,0,0,1.34,1.76,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,1.73,0,0,9.19,0,0,0,4.52,10.93,0,8.22,0,0,1.92,12.69,0,3.3,0,0,0,0,0,0,0,0,0,7.22,2.64,0,0,0,0,0,0,0,1.9,6.2,0,0,0,0,0,0,0,0,3.81,1.36,0,0,0,0,5.58,0,0,4.17,0,0,0,0,0,0,0,0,1.38,1.99,0,0,0,1.09,0,0,0
2010-08-01,0,0,0,0,1.73,0,0,9.19,0,0,0,4.52,10.93,0,8.22,0,0,1.92,12.69,0,3.3,0,0,0,0,0,0,0,0,0,7.22,2.64,0,0,0,0,0,0,0,1.9,6.2,0,0,0,0,0,0,0,0,3.81,1.36,0,0,0,0,5.58,0,0,4.17,0,0,0,0,0,0,0,0,1.38,1.99,0,0,0,1.09,0,0,0
2010-09-01,0,0,0,0,1.73,0,0,9.19,0,0,0,4.52,10.93,0,8.22,0,0,1.92,12.69,0,3.3,0,0,0,0,0,0,0,0,0,7.22,2.64,0,0,0,0,0,0,0,1.9,6.2,0,0,0,0,0,0,0,0,3.81,1.36,0,0,0,0,5.58,0,0,4.17,0,0,0,0,0,0,0,0,1.38,1.99,0,0,0,1.09,0,0,0
2010-10-01,0,0,0,0,1.93,0,0,8.9,0,0,0,4.91,8.03,0,9.69,0,0,2.16,12.79,0,3.46,0,0,0,0,0,0,0,0,0,8.17,2.5,0,0,0,0,0,0,0,2.02,6.04,0,0,0,0,0,0,0,0,3.54,1.47,0,0,0,0,4.9,0,0,3.5,0,0,0,0,0,0,0,0,1.33,2.26,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,1.93,0,0,8.9,0,0,0,4.91,8.03,0,9.69,0,0,2.16,12.79,0,3.46,0,0,0,0,0,0,0,0,0,8.17,2.5,0,0,0,0,0,0,0,2.02,6.04,0,0,0,0,0,0,0,0,3.54,1.47,0,0,0,0,4.9,0,0,3.5,0,0,0,0,0,0,0,0,1.33,2.26,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,1.93,0,0,8.9,0,0,0,4.91,8.03,0,9.69,0,0,2.16,12.79,0,3.46,0,0,0,0,0,0,0,0,0,8.17,2.5,0,0,0,0,0,0,0,2.02,6.04,0,0,0,0,0,0,0,0,3.54,1.47,0,0,0,0,4.9,0,0,3.5,0,0,0,0,0,0,0,0,1.33,2.26,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,1.89,0,0,9.03,0,0,0,4.68,7.67,0,10.04,0,0,2.4,9.51,0,4.95,0,0,0,0,0,0,0,0,0,5.46,2.26,0,0,5.55,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,2.95,1.29,0,0,0,0,2.75,0,0,3.12,0,0,0,0,0,0,0,0,3.83,2.07,0,0,0,1.26,0,0,0
