"Date","AAIGF","ADNT","AET","AIG","AMP","AMZN","APA","AXP","BABA","BAM","BBBY","BK","BRK","CFG","CNQ","COF","COG","COP","COST","COV","CVS","DEO","DGX","EDU","ESRX","FB","GE","GOOG","GOOGL","HCMLF","HOG","HPQ","IBM","INTC","IRM","JCI","JNJ","JPM","KMX","KO","L","LBTYK","LH","LVS","MEL","MER","MKL","MO","MON","MRK","MSFT","NPSNY","NWSA","OVV","OXY","PG","RE","RHHVF","RHJIF","RTX","RWT","S","SAFRY","SCHW","SYY","TEL","TKOMY","TRH","TXN","UNH","USB","WB","WFC","WMT","WOSCF","Y"
2011-02-01,0,0,0,0,1.89,0,0,9.03,0,0,0,4.68,7.67,0,10.04,0,0,2.4,9.51,0,4.95,0,0,0,0,0,0,0,0,0,5.46,2.26,0,0,5.55,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,2.95,1.29,0,0,0,0,2.75,0,0,3.12,0,0,0,0,0,0,0,0,3.83,2.07,0,0,0,1.26,0,0,0
2011-03-01,0,0,0,0,1.89,0,0,9.03,0,0,0,4.68,7.67,0,10.04,0,0,2.4,9.51,0,4.95,0,0,0,0,0,0,0,0,0,5.46,2.26,0,0,5.55,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,2.95,1.29,0,0,0,0,2.75,0,0,3.12,0,0,0,0,0,0,0,0,3.83,2.07,0,0,0,1.26,0,0,0
2011-04-01,0,0,0,0,1.79,0,0,10.36,0,0,1.29,4.66,7.13,0,8.53,0,0,0,10.34,0,5.43,0,0,0,0,0,0,0,0,0,5.16,2.02,0,0,6.07,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,3.16,1.32,0,0,0,0,2.51,0,0,2.79,0,0,0,0,0,0,0,0,3.87,1.97,0,0,0,1.12,0,0,0
2011-05-01,0,0,0,0,1.79,0,0,10.36,0,0,1.29,4.66,7.13,0,8.53,0,0,0,10.34,0,5.43,0,0,0,0,0,0,0,0,0,5.16,2.02,0,0,6.07,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,3.16,1.32,0,0,0,0,2.51,0,0,2.79,0,0,0,0,0,0,0,0,3.87,1.97,0,0,0,1.12,0,0,0
2011-06-01,0,0,0,0,1.79,0,0,10.36,0,0,1.29,4.66,7.13,0,8.53,0,0,0,10.34,0,5.43,0,0,0,0,0,0,0,0,0,5.16,2.02,0,0,6.07,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,3.16,1.32,0,0,0,0,2.51,0,0,2.79,0,0,0,0,0,0,0,0,3.87,1.97,0,0,0,1.12,0,0,0
2011-07-01,0,0,0,0,1.45,0,0,10.73,0,0,1.51,4.83,7.82,0,7.11,0,0,0,12.33,0,5.79,0,0,0,0,0,0,0,0,0,3.54,1.48,0,0,6.71,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,3.49,1.51,0,0,0,0,0,0,1.07,2.39,0,0,0,0,0,0,0,0,4.57,1.9,0,0,0,1.15,0,0,0
2011-08-01,0,0,0,0,1.45,0,0,10.73,0,0,1.51,4.83,7.82,0,7.11,0,0,0,12.33,0,5.79,0,0,0,0,0,0,0,0,0,3.54,1.48,0,0,6.71,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,3.49,1.51,0,0,0,0,0,0,1.07,2.39,0,0,0,0,0,0,0,0,4.57,1.9,0,0,0,1.15,0,0,0
2011-09-01,0,0,0,0,1.45,0,0,10.73,0,0,1.51,4.83,7.82,0,7.11,0,0,0,12.33,0,5.79,0,0,0,0,0,0,0,0,0,3.54,1.48,0,0,6.71,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,3.49,1.51,0,0,0,0,0,0,1.07,2.39,0,0,0,0,0,0,0,0,4.57,1.9,0,0,0,1.15,0,0,0
2011-10-01,0,0,0,0,1.77,0,0,10.5,0,0,1.48,5,7.9,0,8.77,0,0,0,10.46,0,6.79,0,0,0,0,0,0,0,0,0,3.1,2.28,0,0,4.98,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,2.67,1.52,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,4.95,1.37,0,0,0,2.17,0,0,1.25
2011-11-01,0,0,0,0,1.77,0,0,10.5,0,0,1.48,5,7.9,0,8.77,0,0,0,10.46,0,6.79,0,0,0,0,0,0,0,0,0,3.1,2.28,0,0,4.98,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,2.67,1.52,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,4.95,1.37,0,0,0,2.17,0,0,1.25
2011-12-01,0,0,0,0,1.77,0,0,10.5,0,0,1.48,5,7.9,0,8.77,0,0,0,10.46,0,6.79,0,0,0,0,0,0,0,0,0,3.1,2.28,0,0,4.98,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,2.67,1.52,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,0,0,4.95,1.37,0,0,0,2.17,0,0,1.25
2012-01-01,0,0,0,0,1.67,0,0,12.32,0,0,1.63,5.89,8.16,0,7.58,0,0,0,8.94,0,7.26,0,0,0,0,0,0,0,0,0,3.04,2.05,0,0,3.68,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,2.3,1.84,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,1.54,0,0,0,2.61,0,0,4.92
2012-02-01,0,0,0,0,1.67,0,0,12.32,0,0,1.63,5.89,8.16,0,7.58,0,0,0,8.94,0,7.26,0,0,0,0,0,0,0,0,0,3.04,2.05,0,0,3.68,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,2.3,1.84,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,1.54,0,0,0,2.61,0,0,4.92
2012-03-01,0,0,0,0,1.67,0,0,12.32,0,0,1.63,5.89,8.16,0,7.58,0,0,0,8.94,0,7.26,0,0,0,0,0,0,0,0,0,3.04,2.05,0,0,3.68,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,2.3,1.84,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,0,0,1.54,0,0,0,2.61,0,0,4.92
2012-04-01,0,0,0,0,1.62,0,0,13.12,0,0,1.62,5.67,8.85,0,6.49,0,0,0,9.23,0,8.01,0,0,0,0,0,0,0,3.48,0,3,1.83,0,0,3.31,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,1.17,0,1.86,0,0,0,0,0,0,0,0,0,1.39,0,0,0,2.71,0,0,5.37
2012-05-01,0,0,0,0,1.62,0,0,13.12,0,0,1.62,5.67,8.85,0,6.49,0,0,0,9.23,0,8.01,0,0,0,0,0,0,0,3.48,0,3,1.83,0,0,3.31,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,1.17,0,1.86,0,0,0,0,0,0,0,0,0,1.39,0,0,0,2.71,0,0,5.37
2012-06-01,0,0,0,0,1.62,0,0,13.12,0,0,1.62,5.67,8.85,0,6.49,0,0,0,9.23,0,8.01,0,0,0,0,0,0,0,3.48,0,3,1.83,0,0,3.31,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,1.17,0,1.86,0,0,0,0,0,0,0,0,0,1.39,0,0,0,2.71,0,0,5.37
2012-07-01,0,0,0,0,1.43,0,0,12.37,0,0,1.63,5.78,9.29,0,7.36,0,0,0,9.31,0,8.21,0,0,0,0,0,0,0,4.47,0,2.75,1.54,0,0,2.21,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,1.2,0,2.04,0,0,0,0,0,0,0,0,0,1.32,0,0,0,2.77,0,0,5.39
2012-08-01,0,0,0,0,1.43,0,0,12.37,0,0,1.63,5.78,9.29,0,7.36,0,0,0,9.31,0,8.21,0,0,0,0,0,0,0,4.47,0,2.75,1.54,0,0,2.21,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,1.2,0,2.04,0,0,0,0,0,0,0,0,0,1.32,0,0,0,2.77,0,0,5.39
2012-09-01,0,0,0,0,1.43,0,0,12.37,0,0,1.63,5.78,9.29,0,7.36,0,0,0,9.31,0,8.21,0,0,0,0,0,0,0,4.47,0,2.75,1.54,0,0,2.21,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,1.2,0,2.04,0,0,0,0,0,0,0,0,0,1.32,0,0,0,2.77,0,0,5.39
2012-10-01,0,0,0,0,1.64,0,0,13.03,0,0,1.51,6.84,9.78,0,7.19,0,0,0,9.32,0,8.54,1.31,0,0,0,0,0,0,4.38,0,2.52,1.34,0,0,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,1.55,0,0,0,2.85,0,0,5.46
2012-11-01,0,0,0,0,1.64,0,0,13.03,0,0,1.51,6.84,9.78,0,7.19,0,0,0,9.32,0,8.54,1.31,0,0,0,0,0,0,4.38,0,2.52,1.34,0,0,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,1.55,0,0,0,2.85,0,0,5.46
2012-12-01,0,0,0,0,1.64,0,0,13.03,0,0,1.51,6.84,9.78,0,7.19,0,0,0,9.32,0,8.54,1.31,0,0,0,0,0,0,4.38,0,2.52,1.34,0,0,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,1.55,0,0,0,2.85,0,0,5.46
2013-01-01,0,0,0,0,1.77,0,0,14,0,0,1.59,6.82,10.44,0,7.32,0,0,0,9.16,0,8.89,1.3,0,0,0,0,0,0,4.49,0,0,2.05,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,1.39,0,1.41,0,0,0,0,0,0,0,0,0,1.62,0,0,0,2.83,0,0,5.91
2013-02-01,0,0,0,0,1.77,0,0,14,0,0,1.59,6.82,10.44,0,7.32,0,0,0,9.16,0,8.89,1.3,0,0,0,0,0,0,4.49,0,0,2.05,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,1.39,0,1.41,0,0,0,0,0,0,0,0,0,1.62,0,0,0,2.83,0,0,5.91
2013-03-01,0,0,0,0,1.77,0,0,14,0,0,1.59,6.82,10.44,0,7.32,0,0,0,9.16,0,8.89,1.3,0,0,0,0,0,0,4.49,0,0,2.05,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,1.39,0,1.41,0,0,0,0,0,0,0,0,0,1.62,0,0,0,2.83,0,0,5.91
2013-04-01,0,0,0,0,1.99,0,0,14.9,0,0,1.79,6.99,11.51,0,6.58,0,0,0,9.76,0,9.45,0,0,0,0,0,0,0,5.08,0,0,1.23,0,0,0,0,0,0,0,0,4.8,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.42,0,0,0,0,0,0,0,0,0,1.63,1.49,0,0,3.22,0,0,5.84
2013-05-01,0,0,0,0,1.99,0,0,14.9,0,0,1.79,6.99,11.51,0,6.58,0,0,0,9.76,0,9.45,0,0,0,0,0,0,0,5.08,0,0,1.23,0,0,0,0,0,0,0,0,4.8,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.42,0,0,0,0,0,0,0,0,0,1.63,1.49,0,0,3.22,0,0,5.84
2013-06-01,0,0,0,0,1.99,0,0,14.9,0,0,1.79,6.99,11.51,0,6.58,0,0,0,9.76,0,9.45,0,0,0,0,0,0,0,5.08,0,0,1.23,0,0,0,0,0,0,0,0,4.8,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.42,0,0,0,0,0,0,0,0,0,1.63,1.49,0,0,3.22,0,0,5.84
2013-07-01,0,0,0,0,2.14,0,0,14.39,0,0,1.87,7.19,11.12,0,7,0,0,0,9.72,0,8.97,1.29,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,4.83,0,2.78,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,1.8,2.07,0,0,3.09,0,0,5.49
2013-08-01,0,0,0,0,2.14,0,0,14.39,0,0,1.87,7.19,11.12,0,7,0,0,0,9.72,0,8.97,1.29,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,4.83,0,2.78,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,1.8,2.07,0,0,3.09,0,0,5.49
2013-09-01,0,0,0,0,2.14,0,0,14.39,0,0,1.87,7.19,11.12,0,7,0,0,0,9.72,0,8.97,1.29,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,4.83,0,2.78,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,1.8,2.07,0,0,3.09,0,0,5.49
2013-10-01,0,0,0,0,2.41,0,0,15.44,0,0,1.73,7.43,10.37,0,6.73,0,0,0,8.97,0,10.1,1.2,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,4.45,0,3.11,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,1.75,1.94,0,0,3.03,0,0,4.73
2013-11-01,0,0,0,0,2.41,0,0,15.44,0,0,1.73,7.43,10.37,0,6.73,0,0,0,8.97,0,10.1,1.2,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,4.45,0,3.11,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,1.75,1.94,0,0,3.03,0,0,4.73
2013-12-01,0,0,0,0,2.41,0,0,15.44,0,0,1.73,7.43,10.37,0,6.73,0,0,0,8.97,0,10.1,1.2,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,4.45,0,3.11,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,1.75,1.94,0,0,3.03,0,0,4.73
2014-01-01,0,0,0,0,0,0,0,8.45,0,0,1.54,7.77,11.31,0,7.9,0,0,0,8.71,0,2.25,0,0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,4.21,3.06,4.04,5.07,0,0,4.41,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,3.35,3.12,0,0,0,1.95,4.57,0,0,3.44,0,0,0
2014-02-01,0,0,0,0,0,0,0,8.45,0,0,1.54,7.77,11.31,0,7.9,0,0,0,8.71,0,2.25,0,0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,4.21,3.06,4.04,5.07,0,0,4.41,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,3.35,3.12,0,0,0,1.95,4.57,0,0,3.44,0,0,0
2014-03-01,0,0,0,0,0,0,0,8.45,0,0,1.54,7.77,11.31,0,7.9,0,0,0,8.71,0,2.25,0,0,0,0,0,0,0,5.69,0,0,0,0,0,0,0,0,0,0,0,4.21,3.06,4.04,5.07,0,0,4.41,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,3.35,3.12,0,0,0,1.95,4.57,0,0,3.44,0,0,0
2014-04-01,0,0,0,0,0,4.67,0,8.78,0,0,0,8.14,11.31,0,5.69,0,0,0,8.86,0,2.24,0,0,0,0,0,0,2.9,2.95,0,0,0,0,0,0,0,0,0,0,0,3.09,3.14,2.79,4.71,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,3.19,0,0,0,1.95,4.5,0,0,3.58,0,0,0
2014-05-01,0,0,0,0,0,4.67,0,8.78,0,0,0,8.14,11.31,0,5.69,0,0,0,8.86,0,2.24,0,0,0,0,0,0,2.9,2.95,0,0,0,0,0,0,0,0,0,0,0,3.09,3.14,2.79,4.71,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,3.19,0,0,0,1.95,4.5,0,0,3.58,0,0,0
2014-06-01,0,0,0,0,0,4.67,0,8.78,0,0,0,8.14,11.31,0,5.69,0,0,0,8.86,0,2.24,0,0,0,0,0,0,2.9,2.95,0,0,0,0,0,0,0,0,0,0,0,3.09,3.14,2.79,4.71,0,0,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,3.19,0,0,0,1.95,4.5,0,0,3.58,0,0,0
2014-07-01,0,0,0,0,0,4.79,0,8.37,0,0,0,8.69,12.73,0,0,0,0,0,9.48,0,0,0,0,0,0,0,0,3.01,3.06,0,0,0,3.19,0,0,0,0,0,0,0,0,3.15,2.86,3.98,0,0,5.24,0,0,0,0,0,0,4.03,0,0,1.6,0,0,0,0,0,0,3.67,3.34,0,0,0,2.01,4.9,0,0,3.65,0,0,0
2014-08-01,0,0,0,0,0,4.79,0,8.37,0,0,0,8.69,12.73,0,0,0,0,0,9.48,0,0,0,0,0,0,0,0,3.01,3.06,0,0,0,3.19,0,0,0,0,0,0,0,0,3.15,2.86,3.98,0,0,5.24,0,0,0,0,0,0,4.03,0,0,1.6,0,0,0,0,0,0,3.67,3.34,0,0,0,2.01,4.9,0,0,3.65,0,0,0
2014-09-01,0,0,0,0,0,4.79,0,8.37,0,0,0,8.69,12.73,0,0,0,0,0,9.48,0,0,0,0,0,0,0,0,3.01,3.06,0,0,0,3.19,0,0,0,0,0,0,0,0,3.15,2.86,3.98,0,0,5.24,0,0,0,0,0,0,4.03,0,0,1.6,0,0,0,0,0,0,3.67,3.34,0,0,0,2.01,4.9,0,0,3.65,0,0,0
2014-10-01,0,0,0,0,0,5.86,0,9.83,0,0,0,10.06,12.28,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,3.03,3.05,0,0,0,0,0,0,0,0,0,0,0,0,4.09,3.35,4.11,0,0,6.22,0,0,0,0,0,0,3.8,0,0,1.85,0,0,0,0,0,0,4.17,3.86,0,0,0,2.49,6.35,0,0,4.26,0,0,0
2014-11-01,0,0,0,0,0,5.86,0,9.83,0,0,0,10.06,12.28,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,3.03,3.05,0,0,0,0,0,0,0,0,0,0,0,0,4.09,3.35,4.11,0,0,6.22,0,0,0,0,0,0,3.8,0,0,1.85,0,0,0,0,0,0,4.17,3.86,0,0,0,2.49,6.35,0,0,4.26,0,0,0
2014-12-01,0,0,0,0,0,5.86,0,9.83,0,0,0,10.06,12.28,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,3.03,3.05,0,0,0,0,0,0,0,0,0,0,0,0,4.09,3.35,4.11,0,0,6.22,0,0,0,0,0,0,3.8,0,0,1.85,0,0,0,0,0,0,4.17,3.86,0,0,0,2.49,6.35,0,0,4.26,0,0,0
2015-01-01,0,0,0,0,0,6.92,0,7.95,0,0,0,7.89,9.49,2.37,0,0,0,0,4.78,0,0,0,0,0,3.24,0,0,3.11,3.14,0,0,0,0,0,0,0,0,3.64,0,0,0,4.16,3.86,3.83,0,0,6.9,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,2.62,6.59,0,0,4.17,0,0,0
2015-02-01,0,0,0,0,0,6.92,0,7.95,0,0,0,7.89,9.49,2.37,0,0,0,0,4.78,0,0,0,0,0,3.24,0,0,3.11,3.14,0,0,0,0,0,0,0,0,3.64,0,0,0,4.16,3.86,3.83,0,0,6.9,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,2.62,6.59,0,0,4.17,0,0,0
2015-03-01,0,0,0,0,0,6.92,0,7.95,0,0,0,7.89,9.49,2.37,0,0,0,0,4.78,0,0,0,0,0,3.24,0,0,3.11,3.14,0,0,0,0,0,0,0,0,3.64,0,0,0,4.16,3.86,3.83,0,0,6.9,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,2.62,6.59,0,0,4.17,0,0,0
2015-04-01,0,0,0,0,0,8.29,0,8.12,0,0,0,6.36,9.18,2.76,0,0,3.06,0,4.38,0,0,0,0,0,3.41,0,0,3.04,3.14,0,0,0,0,0,0,0,0,4.18,0,0,0,4.34,2.74,3.76,0,0,7.38,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0,5.27,0,0,4.43,0,0,0
2015-05-01,0,0,0,0,0,8.29,0,8.12,0,0,0,6.36,9.18,2.76,0,0,3.06,0,4.38,0,0,0,0,0,3.41,0,0,3.04,3.14,0,0,0,0,0,0,0,0,4.18,0,0,0,4.34,2.74,3.76,0,0,7.38,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0,5.27,0,0,4.43,0,0,0
2015-06-01,0,0,0,0,0,8.29,0,8.12,0,0,0,6.36,9.18,2.76,0,0,3.06,0,4.38,0,0,0,0,0,3.41,0,0,3.04,3.14,0,0,0,0,0,0,0,0,4.18,0,0,0,4.34,2.74,3.76,0,0,7.38,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0,5.27,0,0,4.43,0,0,0
