,0,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30
1,Assets  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cash and equivalents  ,716.0,794.0,"1,796.0","2,973.0",511.0,"1,668.0","2,251.0","1,565.0",588.0,743.0,"1,696.0","1,963.0",558.0,960.0,"1,988.0","4,561.0",405.0,"1,227.0",901.0,"1,434.0",466.0,"1,562.0","1,039.0",658.0,1.3,"1,101.0","1,085.0","1,081.0",541.0,"1,091.0","1,710.0","3,072.0","1,014.0",675.0,568.0,"1,496.0",652.0,"1,078.0","1,191.0","2,677.0",632.0,"1,141.0","1,087.0",682.0,245.0,322.0,477.0, ,281.0,336.0,337.0, ,0.7, , , 
3,Short-term investments  ,160.0,127.0,275.0,190.0,218.0,208.0,391.0,205.0,102.0,85.0,119.0,84.0,100.0,123.0,168.0,174.0,307.0,158.0,188.0,95.0,125.0,211.0,90.0,110.0,1.0,115.0,189.0,118.0,125.0,209.0,586.0,161.0,286.0,294.0,340.0,345.0,471.0,659.0,816.0,675.0,425.0,509.0,424.0,460.0,416.0,445.0,377.0, ,249.0,231.0,325.0, ,1.3, , , 
4,Inventories  ,"13,179.0","13,716.0","13,730.0","15,026.0","12,561.0","12,365.0","11,885.0","13,204.0","11,393.0","12,393.0","11,407.0","12,254.0","10,458.0","10,990.0","10,604.0","11,055.0","9,458.0","10,434.0","9,704.0","10,614.0","8,911.0","9,762.0","9,315.0","10,515.0",30.3,"9,593.0","9,106.0","10,274.0","8,600.0","8,995.0","8,699.0","9,786.0","8,355.0","8,990.0","8,825.0","9,661.0","8,321.0","8,543.0","8,653.0","9,899.0","8,249.0","8,424.0","8,189.0","9,013.0","8,209.0","8,327.0","7,939.0", ,"7,611.0","7,775.0","7,799.0", ,25.1, , , 
5,Other current assets  ,"1,263.0","1,025.0",995.0,"1,146.0",938.0,897.0,956.0,"1,059.0",689.0,788.0,811.0,975.0,884.0,655.0,591.0,683.0,391.0,576.0,573.0,648.0,349.0,595.0,631.0,669.0,1.3,556.0,533.0,541.0,518.0,535.0,604.0,609.0,417.0,464.0,435.0,471.0,523.0,421.0,461.0,444.0,426.0,418.0,393.0,447.0,320.0,427.0,511.0, ,545.0,434.0,390.0, ,1.2, , , 
6,Total current assets  ,"15,318.0","15,662.0","16,796.0","19,335.0","14,228.0","15,138.0","15,483.0","16,033.0","12,772.0","14,009.0","14,033.0","15,276.0","12,000.0","12,728.0","13,351.0","16,473.0","10,561.0","12,395.0","11,366.0","12,791.0","9,851.0","12,130.0","11,075.0","11,952.0",33.9,"11,365.0","10,913.0","12,014.0","9,784.0","10,830.0","11,599.0","13,628.0","10,072.0","10,423.0","10,168.0","11,973.0","9,967.0","10,701.0","11,121.0","13,695.0","9,732.0","10,492.0","10,093.0","10,602.0","9,190.0","9,521.0","9,304.0", ,"8,686.0","8,776.0","8,851.0", ,28.3, , , 
7,"Property, plant, and equipment, net  ","18,669.0","18,371.0","18,203.0","18,150.0","18,432.0","18,923.0","19,172.0","19,500.0","19,721.0","19,818.0","19,762.0","19,748.0","19,949.0","20,037.0","20,274.0","19,463.0","19,577.0","19,655.0","19,751.0","19,892.0","20,034.0","20,180.0","20,368.0","20,617.0",62.6,"20,973.0","20,969.0","21,257.0","21,477.0","21,591.0","21,734.0","21,821.0","21,970.0","21,888.0","22,195.0","22,060.0","22,089.0","22,180.0","22,274.0","22,379.0","22,499.0","22,557.0","22,727.0","22,715.0","22,722.0","22,602.0","22,066.0", ,"21,361.0","20,755.0","19,825.0", ,69.5, , , 
8,Goodwill  ,303.0,303.0,303.0,303.0,303.0,"1,272.0","1,271.0","1,288.0","1,307.0","1,327.0","1,255.0","1,081.0","1,082.0","1,034.0","1,074.0", ,154.0, , , , , , , ,0.7,439.0,306.0,272.0,271.0,350.0,485.0,710.0,504.0,705.0,857.0,"1,209.0","1,008.0",865.0,730.0,832.0,277.0,864.0,900.0,448.0,253.0,466.0,798.0, ,509.0,333.0,627.0, ,0.8, , , 
9,Long-term investments  ,372.0,363.0,179.0,235.0,256.0,290.0,87.0,321.0,408.0,370.0,360.0,477.0,366.0,436.0,604.0,400.0,222.0,382.0,412.0,384.0,354.0,395.0,382.0,360.0,2.0,"1,300.0","1,220.0","1,188.0","1,134.0","1,182.0","1,214.0","1,049.0","1,013.0",850.0,825.0,642.0,635.0,595.0,508.0,508.0,497.0,496.0,462.0,444.0,460.0,440.0,381.0, ,313.0,325.0,341.0, ,1.4, , , 
10,Other fixed assets  ,702.0,713.0,735.0,775.0,995.0,805.0,843.0,896.0,915.0,912.0,930.0,759.0,789.0,804.0,918.0,687.0,511.0,"1,223.0","1,216.0","1,355.0","1,349.0","1,327.0","1,312.0","1,300.0",100.0,"34,077.0","33,408.0","34,731.0","32,666.0","33,953.0","35,032.0","37,208.0","33,559.0","33,866.0","34,045.0","35,884.0","33,699.0","34,341.0","34,633.0","37,414.0","33,005.0","34,409.0","34,182.0","34,209.0","32,625.0","33,029.0","32,549.0", ,"30,869.0","30,189.0","29,644.0", ,100.0, , , 
11,Total assets  ,"39,471.0","39,764.0","40,695.0","43,219.0","34,508.0","36,713.0","37,105.0","38,237.0","35,291.0","36,783.0","36,668.0","37,613.0","34,408.0","35,370.0","36,471.0","37,177.0","31,266.0","33,655.0","32,745.0","34,422.0","31,721.0","34,032.0","33,137.0","34,229.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,   ,,,,,,,,,,,,,,,,,,,,,,,,,18.0,"5,776.0","5,664.0","7,041.0","4,657.0","5,416.0","5,084.0","6,977.0","4,352.0","5,242.0","5,378.0","6,694.0","4,351.0","4,959.0","4,888.0","7,062.0","4,287.0","5,046.0","4,970.0","5,843.0","4,109.0","4,831.0","4,786.0", ,"3,713.0","3,895.0","4,167.0", ,12.6, , , 
13,Accounts payable  ,"7,659.0","8,822.0","9,499.0","11,485.0","8,279.0","9,283.0","8,984.0","10,104.0","6,590.0","8,903.0","8,649.0","9,905.0","6,651.0","7,836.0","7,696.0","8,821.0","5,633.0","7,338.0","7,123.0","8,023.0","5,124.0","6,459.0","6,191.0","7,051.0",2.6,705.0,651.0,467.0,986.0,581.0,561.0,492.0,931.0,622.0,495.0,557.0,978.0,678.0,537.0,594.0,577.0,558.0,540.0,535.0,434.0,516.0,492.0, ,467.0,437.0,371.0, ,1.3, , , 
14,Accrued expenses  ,"1,185.0",779.0,717.0,769.0,"1,040.0",806.0,671.0,715.0,"1,094.0",808.0,665.0,725.0,"1,117.0",704.0,750.0,615.0,"1,163.0",685.0,667.0,555.0,"1,119.0",676.0,635.0,501.0,3.5,51.0,47.0,47.0,47.0,45.0,594.0,593.0,592.0,590.0,39.0,38.0,36.0,36.0,37.0,536.0,552.0,553.0,561.0,52.0,"1,021.0",283.0,220.0, ,"1,104.0",51.0,640.0, ,3.1, , , 
15,Short-term and curr portion of long-term debt   [+],"2,538.0","1,211.0","1,009.0","1,008.0","1,832.0","1,117.0",894.0,896.0,"1,431.0",468.0,296.0,295.0,"1,305.0",800.0,"1,193.0","1,083.0","1,104.0","1,058.0","1,014.0","1,026.0",552.0,551.0,54.0,47.0,0.1, , , , , , , ,592.0,590.0,39.0,38.0,36.0,36.0,37.0,536.0, , ,9.0, ,987.0,249.0,189.0, ,"1,064.0",16.0,555.0, , , , , 
16,        Short-term debt  ,"1,941.0",637.0, , ,722.0, , , ,"1,137.0",171.0, , ,510.0, , , ,43.0, , , , , , , ,3.4,51.0,47.0,47.0,47.0,45.0,594.0,593.0,801.0,789.0,831.0,970.0,707.0,802.0,770.0,901.0,552.0, ,552.0,52.0,34.0,34.0,31.0, ,40.0,35.0,85.0, , , , , 
17,        Current portion of long-term debt  ,597.0,574.0,"1,009.0","1,008.0","1,110.0","1,117.0",894.0,896.0,294.0,297.0,296.0,295.0,795.0,800.0,"1,193.0","1,083.0","1,061.0","1,058.0","1,014.0","1,026.0",552.0,551.0,54.0,47.0,3.4,944.0,985.0,"1,008.0",824.0,788.0,847.0,881.0,"1,215.0","1,913.0","1,934.0","1,662.0","1,047.0","1,533.0","1,761.0","1,788.0",683.0, ,716.0,741.0,674.0,748.0,816.0, ,717.0,793.0,819.0, , , , , 
18,Deferred revenues  , ,"1,222.0", , , , ,"1,449.0","1,439.0","1,378.0","1,404.0","1,450.0","1,415.0","1,253.0","1,258.0","1,285.0","1,233.0","1,078.0","1,084.0","1,146.0","1,153.0",979.0,"1,029.0","1,039.0","1,055.0",6.1,"1,927.0","1,993.0","1,876.0","1,194.0","1,784.0","1,936.0","2,053.0","7,891.0","9,156.0","8,677.0","9,921.0","7,119.0","8,008.0","7,993.0","10,881.0","1,256.0","2,820.0","2,157.0","2,033.0","1,322.0","2,053.0","2,214.0", ,"1,750.0","2,016.0","2,043.0", ,7.5, , , 
19,Other current liabilities  ,"3,800.0","3,029.0","4,610.0","4,519.0","3,346.0","3,863.0","2,583.0","2,620.0","1,603.0","2,155.0","2,565.0","2,346.0","1,648.0","2,035.0","2,259.0","2,369.0","1,514.0","1,997.0","2,191.0","2,213.0","1,574.0","2,089.0","2,094.0","2,160.0",33.6,"9,403.0","9,340.0","10,439.0","7,708.0","8,614.0","9,022.0","10,996.0","14,244.0","6,025.0","6,581.0","6,538.0","6,537.0","5,539.0","5,533.0","5,531.0","7,355.0","8,977.0","8,944.0","9,204.0","7,560.0","8,431.0","8,528.0", ,"7,751.0","7,192.0","8,040.0", ,24.5, , , 
20,Total current liabilities  ,"15,182.0","15,063.0","15,835.0","17,781.0","14,497.0","15,069.0","14,581.0","15,774.0","12,096.0","13,738.0","13,625.0","14,686.0","11,974.0","12,633.0","13,183.0","14,121.0","10,492.0","12,162.0","12,141.0","12,970.0","9,348.0","10,804.0","10,013.0","10,814.0",36.9,"10,090.0","9,015.0","9,026.0","9,030.0","9,004.0","18,202.0","18,212.0","-5,109.0","1,876.0","2,008.0","1,966.0","1,931.0","1,902.0","1,894.0","1,983.0","4,528.0","4,524.0","4,515.0","5,023.0","5,039.0","5,044.0","5,050.0", ,"5,576.0","5,580.0","4,301.0", ,15.4, , , 
21,Long-term debt  ,"16,768.0","16,635.0","16,538.0","16,542.0","14,391.0","14,460.0","14,937.0","14,948.0","15,564.0","15,570.0","15,788.0","15,770.0","14,394.0","14,395.0","29,584.0","29,192.0","23,625.0","23,630.0","21,215.0","21,211.0","21,672.0","21,681.0","10,063.0","10,080.0",5.0,"1,933.0","1,991.0","2,014.0","2,071.0","2,110.0","-7,016.0","-7,203.0","17,026.0","17,057.0","17,266.0","18,425.0","15,587.0","15,449.0","15,420.0","18,395.0","2,053.0","1,489.0","1,547.0","1,545.0","1,971.0","1,597.0","1,465.0", ,"1,444.0","1,363.0","1,334.0", ,4.9, , , 
22,Other liabilities  ,"5,549.0","5,608.0","5,682.0","5,660.0","1,976.0","1,790.0","1,806.0","1,770.0","1,758.0","1,733.0","1,719.0","1,626.0","1,606.0","1,634.0","-13,318.0","-13,348.0","-10,505.0","-10,515.0","-9,298.0","-9,236.0","-9,267.0","-9,183.0","1,821.0","1,853.0",75.5,"21,426.0","20,346.0","21,479.0","18,809.0","19,728.0","20,208.0","22,005.0",,,,,,,,,"13,936.0","14,990.0","15,006.0","15,772.0","14,570.0","15,072.0","15,043.0", ,"14,771.0","14,135.0","13,675.0", ,44.8, , , 
23,Total liabilities  ,"37,499.0","37,306.0","38,055.0","39,983.0","30,864.0","31,319.0","31,324.0","32,492.0","29,418.0","31,041.0","31,132.0","32,082.0","27,974.0","28,662.0","29,449.0","29,965.0","23,612.0","25,277.0","24,058.0","24,945.0","21,753.0","23,302.0","21,897.0","22,747.0",,,,,,,,,"16,533.0","16,809.0","16,779.0","17,459.0","18,112.0","18,892.0","19,213.0","19,019.0",,,,,,,,,,,,,,,,
24,   ,,,,,,,,,,,,,,,,,,,,,,,,,24.5,"12,651.0","13,062.0","13,252.0","13,857.0","14,225.0","14,824.0","15,203.0",14.0,24.0,7.0, ,11.0,6.0,9.0,6.0,"19,069.0","19,419.0","19,176.0","18,437.0","18,055.0","17,957.0","17,506.0", ,"16,098.0","16,054.0","15,969.0", ,55.2, , , 
25,Shareholders' equity   [+],"1,972.0","2,458.0","2,640.0","3,236.0","3,644.0","5,394.0","5,781.0","5,745.0","5,873.0","5,742.0","5,536.0","5,531.0","6,434.0","6,708.0","7,022.0","7,212.0","7,654.0","8,378.0","8,687.0","9,477.0","9,968.0","10,730.0","11,240.0","11,482.0", , , ,38.0,26.0,9.0,2.0, ,"15,852.0","16,109.0","16,060.0","16,715.0","17,371.0","18,144.0","18,454.0","18,246.0",6.0,398.0,367.0,296.0,277.0,215.0,118.0, ,16.0,20.0,11.0, , , , , 
26,        Retained earnings  ,"1,727.0","2,238.0","2,439.0","3,095.0","3,452.0","5,156.0","5,517.0","5,405.0",22.0, , , , , , , ,"7,593.0","8,298.0","8,533.0","9,085.0","9,591.0","10,271.0","10,749.0","10,985.0",24.3,"12,103.0","12,504.0","12,618.0","13,224.0","13,602.0","14,199.0","14,557.0","16,533.0","16,809.0","16,779.0","17,459.0","18,112.0","18,892.0","19,213.0","19,019.0","18,307.0","18,236.0","18,025.0","17,399.0","17,049.0","17,012.0","16,648.0", ,"15,345.0","15,281.0","15,210.0", , , , , 
27,Tangible shareholders' equity  ,"1,669.0","2,155.0","2,337.0","2,933.0","3,341.0","4,122.0","4,510.0","4,457.0","5,425.0","5,289.0","5,253.0","5,346.0","6,241.0","6,376.0","6,839.0","7,074.0","7,500.0","8,378.0","8,687.0","9,477.0","9,968.0","10,730.0","11,240.0","11,482.0",24.5,"12,651.0","13,062.0","13,252.0","13,857.0","14,225.0","14,824.0","15,203.0",,,,,,,,,"19,069.0","19,419.0","19,176.0","18,437.0","18,055.0","17,957.0","17,506.0", ,"16,098.0","16,054.0","15,969.0", ,55.2, , , 
28,,,,,,,,,,"4,566.0","4,415.0","4,281.0","4,450.0","5,352.0","5,674.0","5,948.0","7,212.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
